listener,artist,genre,region,minutes,day,month,year,date,premium
Hana,Nova,Pop,EU,156,14,3,2022,2022-03-14,True
Ada,Echo Park,HipHop,UK,172,25,3,2023,2023-03-25,False
Dee,Sol Fina,Pop,JP,65,8,4,2021,2021-04-08,False
Dee,Marisol,Classical,EU,86,15,9,2023,2023-09-15,True
Gus,Marisol,Classical,US,227,19,7,2022,2022-07-19,True
Ben,The Larks,Jazz,EU,205,18,10,2022,2022-10-18,False
Dee,Nova,Pop,UK,100,27,7,2021,2021-07-27,False
Ben,Sol Fina,Pop,US,58,2,8,2022,2022-08-02,False
Gus,Blue Ember,Jazz,US,73,4,1,2021,2021-01-04,False
Fay,Nova,Pop,EU,130,2,9,2023,2023-09-02,True
Dee,Vantablack,Rock,US,137,1,4,2023,2023-04-01,True
Dee,Grův,Pop,US,45,13,5,2022,2022-05-13,False
Ben,Echo Park,HipHop,US,16,5,7,2023,2023-07-05,True
Hana,Echo Park,HipHop,UK,119,8,6,2023,2023-06-08,False
Fay,Echo Park,HipHop,UK,192,11,5,2021,2021-05-11,True
Cy,Echo Park,HipHop,UK,37,28,2,2021,2021-02-28,True
Dee,Vantablack,Rock,US,99,5,10,2021,2021-10-05,False
Fay,Riftwave,Rock,US,39,2,1,2021,2021-01-02,False
Fay,The Larks,Jazz,UK,59,20,9,2022,2022-09-20,False
Dee,Marisol,Classical,US,147,2,8,2022,2022-08-02,False
Cy,Vantablack,Rock,EU,69,13,8,2022,2022-08-13,False
Fay,K.Low,HipHop,US,64,22,3,2021,2021-03-22,False
Fay,Riftwave,Rock,US,239,3,10,2023,2023-10-03,False
Eli,Grův,Pop,US,42,6,12,2023,2023-12-06,False
Ada,Echo Park,HipHop,UK,46,9,10,2022,2022-10-09,False
Dee,Sol Fina,Pop,US,224,7,1,2021,2021-01-07,False
Eli,Marisol,Classical,EU,133,10,3,2022,2022-03-10,False
Hana,The Larks,Jazz,US,11,26,2,2023,2023-02-26,True
Eli,Vantablack,Rock,UK,102,31,3,2023,2023-03-31,False
Cy,Marisol,Classical,UK,136,24,9,2021,2021-09-24,True
Eli,Marisol,Classical,US,61,20,6,2023,2023-06-20,True
Ben,Blue Ember,Jazz,UK,132,26,11,2023,2023-11-26,False
Ada,Nova,Pop,US,156,11,7,2022,2022-07-11,True
Fay,Vantablack,Rock,UK,61,22,2,2022,2022-02-22,False
Hana,The Larks,Jazz,US,195,31,7,2022,2022-07-31,False
Gus,Nova,Pop,EU,109,30,1,2021,2021-01-30,True
Eli,The Larks,Jazz,JP,232,28,7,2022,2022-07-28,False
Ada,The Larks,Jazz,US,22,30,1,2021,2021-01-30,True
Hana,Blue Ember,Jazz,UK,78,8,2,2021,2021-02-08,False
Dee,Sol Fina,Pop,EU,174,29,8,2022,2022-08-29,False
Cy,Riftwave,Rock,US,215,14,7,2022,2022-07-14,True
Hana,Echo Park,HipHop,EU,54,17,12,2023,2023-12-17,True
Fay,Echo Park,HipHop,UK,236,10,7,2022,2022-07-10,True
Fay,K.Low,HipHop,JP,47,9,12,2023,2023-12-09,True
Cy,Nova,Pop,JP,100,3,6,2023,2023-06-03,True
Hana,Grův,Pop,US,76,5,1,2022,2022-01-05,False
Dee,Marisol,Classical,UK,102,12,10,2023,2023-10-12,True
Eli,The Larks,Jazz,UK,217,13,6,2022,2022-06-13,False
Gus,Sol Fina,Pop,US,176,14,10,2022,2022-10-14,True
Fay,Echo Park,HipHop,US,192,20,4,2021,2021-04-20,False
Ben,Echo Park,HipHop,JP,61,21,8,2021,2021-08-21,True
Cy,Riftwave,Rock,US,228,26,7,2022,2022-07-26,False
Cy,K.Low,HipHop,UK,105,25,10,2021,2021-10-25,False
Hana,Marisol,Classical,EU,157,19,10,2022,2022-10-19,True
Fay,Marisol,Classical,US,168,29,3,2021,2021-03-29,False
Cy,Nova,Pop,UK,160,2,10,2021,2021-10-02,True
Fay,Vantablack,Rock,JP,145,30,12,2022,2022-12-30,False
Fay,Riftwave,Rock,UK,116,2,11,2022,2022-11-02,False
Dee,Echo Park,HipHop,US,156,14,12,2023,2023-12-14,False
Dee,Sol Fina,Pop,US,218,13,9,2023,2023-09-13,True
Hana,Grův,Pop,JP,94,7,6,2023,2023-06-07,True
Eli,Echo Park,HipHop,US,123,2,1,2021,2021-01-02,True
Ben,K.Low,HipHop,UK,44,22,10,2022,2022-10-22,True
Fay,Grův,Pop,US,86,8,9,2021,2021-09-08,True
Eli,Marisol,Classical,UK,186,20,10,2021,2021-10-20,False
Eli,K.Low,HipHop,JP,154,18,8,2021,2021-08-18,False
Fay,Grův,Pop,UK,51,15,5,2022,2022-05-15,False
Hana,K.Low,HipHop,JP,132,16,5,2021,2021-05-16,True
Cy,Nova,Pop,US,195,6,8,2022,2022-08-06,True
Dee,Marisol,Classical,UK,30,1,7,2021,2021-07-01,False
Ben,Echo Park,HipHop,EU,15,2,7,2022,2022-07-02,True
Fay,Riftwave,Rock,UK,95,17,11,2022,2022-11-17,True
Dee,Marisol,Classical,US,158,16,7,2021,2021-07-16,False
Cy,Riftwave,Rock,EU,76,23,4,2021,2021-04-23,False
Fay,Sol Fina,Pop,US,198,2,6,2023,2023-06-02,False
Dee,Marisol,Classical,UK,204,20,3,2023,2023-03-20,True
Dee,K.Low,HipHop,JP,128,14,10,2021,2021-10-14,False
Dee,Blue Ember,Jazz,US,91,30,8,2023,2023-08-30,True
Cy,Vantablack,Rock,US,11,31,8,2021,2021-08-31,True
Ben,Sol Fina,Pop,US,198,12,10,2023,2023-10-12,False
Gus,Grův,Pop,US,215,5,5,2021,2021-05-05,True
Ada,Marisol,Classical,US,107,24,12,2022,2022-12-24,False
Cy,Riftwave,Rock,EU,124,21,1,2021,2021-01-21,True
Fay,The Larks,Jazz,US,181,5,8,2021,2021-08-05,True
Ben,Sol Fina,Pop,EU,167,20,3,2022,2022-03-20,False
Fay,Echo Park,HipHop,US,33,4,4,2021,2021-04-04,True
Fay,Nova,Pop,US,162,16,5,2022,2022-05-16,False
Fay,K.Low,HipHop,US,222,12,9,2021,2021-09-12,True
Cy,Echo Park,HipHop,EU,181,19,4,2021,2021-04-19,False
Ada,The Larks,Jazz,UK,116,20,11,2023,2023-11-20,True
Hana,Marisol,Classical,US,126,12,12,2023,2023-12-12,True
Cy,The Larks,Jazz,EU,63,20,11,2023,2023-11-20,False
Gus,The Larks,Jazz,UK,159,18,6,2021,2021-06-18,True
Ben,K.Low,HipHop,US,58,23,2,2022,2022-02-23,True
Ben,The Larks,Jazz,JP,83,25,12,2021,2021-12-25,False
Gus,Blue Ember,Jazz,US,64,23,12,2021,2021-12-23,False
Hana,Blue Ember,Jazz,US,81,2,4,2022,2022-04-02,False
Gus,Sol Fina,Pop,UK,89,13,7,2022,2022-07-13,False
Gus,Sol Fina,Pop,US,20,16,6,2022,2022-06-16,False
Ben,Riftwave,Rock,US,173,16,11,2021,2021-11-16,False
Hana,The Larks,Jazz,EU,106,9,12,2023,2023-12-09,False
Fay,Riftwave,Rock,US,228,9,12,2023,2023-12-09,True
Ben,The Larks,Jazz,EU,44,29,12,2021,2021-12-29,True
Ben,Nova,Pop,JP,161,31,8,2021,2021-08-31,False
Gus,Echo Park,HipHop,UK,44,7,8,2022,2022-08-07,False
Cy,Echo Park,HipHop,EU,132,9,2,2022,2022-02-09,False
Gus,Echo Park,HipHop,EU,118,17,12,2023,2023-12-17,True
Ben,Sol Fina,Pop,JP,108,16,4,2022,2022-04-16,True
Cy,Marisol,Classical,US,158,13,2,2021,2021-02-13,False
Cy,Echo Park,HipHop,US,199,17,5,2021,2021-05-17,False
Cy,Blue Ember,Jazz,UK,77,23,3,2021,2021-03-23,True
Fay,Echo Park,HipHop,UK,204,24,2,2022,2022-02-24,False
Hana,Vantablack,Rock,US,45,13,12,2021,2021-12-13,False
Hana,Marisol,Classical,UK,71,28,7,2023,2023-07-28,False
Fay,Vantablack,Rock,US,75,3,9,2023,2023-09-03,True
Ben,Vantablack,Rock,JP,229,3,6,2021,2021-06-03,False
Hana,Nova,Pop,US,29,1,11,2023,2023-11-01,False
Eli,Riftwave,Rock,US,95,2,10,2022,2022-10-02,False
Eli,Blue Ember,Jazz,US,102,2,12,2021,2021-12-02,True
Fay,Riftwave,Rock,US,193,22,3,2022,2022-03-22,False
Gus,Marisol,Classical,US,117,29,4,2022,2022-04-29,False
Hana,Sol Fina,Pop,US,233,6,7,2021,2021-07-06,True
Eli,Sol Fina,Pop,US,178,8,8,2023,2023-08-08,False
Eli,Marisol,Classical,US,169,14,1,2021,2021-01-14,False
Fay,The Larks,Jazz,US,181,18,3,2021,2021-03-18,False
Cy,Vantablack,Rock,US,39,27,10,2021,2021-10-27,True
Cy,Nova,Pop,US,108,7,6,2021,2021-06-07,False
Fay,Echo Park,HipHop,US,141,9,3,2021,2021-03-09,True
Ada,Vantablack,Rock,US,51,24,2,2022,2022-02-24,False
Cy,Sol Fina,Pop,US,29,17,2,2022,2022-02-17,False
Fay,Vantablack,Rock,US,33,18,5,2021,2021-05-18,True
Hana,Vantablack,Rock,EU,190,7,6,2023,2023-06-07,True
Eli,Nova,Pop,JP,158,25,8,2023,2023-08-25,True
Dee,Vantablack,Rock,JP,68,28,2,2023,2023-02-28,False
Dee,Echo Park,HipHop,UK,177,26,7,2022,2022-07-26,False
Fay,K.Low,HipHop,UK,167,4,11,2023,2023-11-04,False
Eli,Sol Fina,Pop,US,196,19,1,2022,2022-01-19,True
Ada,Nova,Pop,EU,219,13,4,2022,2022-04-13,True
Eli,K.Low,HipHop,EU,212,17,1,2021,2021-01-17,True
Dee,Marisol,Classical,EU,44,15,2,2023,2023-02-15,False
Fay,Grův,Pop,EU,185,12,4,2021,2021-04-12,False
Hana,Blue Ember,Jazz,UK,95,30,12,2022,2022-12-30,False
Hana,Blue Ember,Jazz,EU,97,7,5,2023,2023-05-07,True
Eli,Marisol,Classical,EU,156,26,8,2021,2021-08-26,False
Cy,Grův,Pop,US,145,2,11,2022,2022-11-02,True
Dee,The Larks,Jazz,JP,101,29,11,2021,2021-11-29,False
Ben,Nova,Pop,US,240,13,3,2022,2022-03-13,False
Hana,Blue Ember,Jazz,JP,42,4,8,2022,2022-08-04,False
Gus,The Larks,Jazz,EU,24,1,10,2021,2021-10-01,False
Gus,Nova,Pop,US,7,23,5,2023,2023-05-23,True
Cy,The Larks,Jazz,EU,196,9,3,2022,2022-03-09,False
Cy,Blue Ember,Jazz,US,98,21,5,2022,2022-05-21,True
Gus,Grův,Pop,EU,105,12,6,2023,2023-06-12,False
Eli,Blue Ember,Jazz,EU,156,7,9,2021,2021-09-07,True
Fay,Marisol,Classical,UK,105,11,5,2022,2022-05-11,True
Dee,Sol Fina,Pop,EU,138,24,12,2023,2023-12-24,True
Dee,Riftwave,Rock,US,15,14,3,2022,2022-03-14,True
Fay,Vantablack,Rock,US,38,7,5,2021,2021-05-07,False
Gus,Vantablack,Rock,UK,224,8,11,2021,2021-11-08,False
Cy,Echo Park,HipHop,US,109,13,11,2023,2023-11-13,True
Gus,Grův,Pop,UK,41,12,4,2023,2023-04-12,False
Ben,Sol Fina,Pop,US,89,5,6,2023,2023-06-05,False
Dee,Marisol,Classical,US,81,5,10,2021,2021-10-05,True
