station,city,region,temp,humidity,day,month,year,date,rained
WX08,Fargo,North,70,44,15,6,2023,2023-06-15,True
WX05,Boston,East,82,55,30,9,2023,2023-09-30,False
WX01,Denver,West,64,63,15,4,2022,2022-04-15,True
WX08,Fargo,North,82,22,29,6,2022,2022-06-29,False
WX08,Fargo,North,24,29,28,1,2022,2022-01-28,True
WX03,Austin,South,23,18,23,12,2022,2022-12-23,True
WX04,Miami,South,27,28,27,12,2022,2022-12-27,True
WX01,Denver,West,11,49,22,1,2022,2022-01-22,False
WX07,Chicago,North,60,95,28,4,2023,2023-04-28,False
WX07,Chicago,North,7,93,7,1,2022,2022-01-07,False
WX01,Denver,West,71,79,2,8,2023,2023-08-02,False
WX06,Newark,East,72,60,30,5,2023,2023-05-30,False
WX04,Miami,South,84,28,19,8,2023,2023-08-19,False
WX05,Boston,East,40,42,28,3,2022,2022-03-28,False
WX02,Seattle,West,67,79,28,9,2023,2023-09-28,False
WX07,Chicago,North,40,92,4,2,2023,2023-02-04,True
WX04,Miami,South,74,97,23,9,2023,2023-09-23,False
WX07,Chicago,North,74,45,24,5,2023,2023-05-24,False
WX02,Seattle,West,57,54,25,4,2023,2023-04-25,True
WX05,Boston,East,28,56,24,1,2022,2022-01-24,False
WX03,Austin,South,77,15,21,5,2023,2023-05-21,False
WX08,Fargo,North,41,20,24,11,2022,2022-11-24,True
WX05,Boston,East,78,14,12,9,2023,2023-09-12,False
WX06,Newark,East,58,77,15,5,2023,2023-05-15,True
WX01,Denver,West,10,30,24,2,2022,2022-02-24,True
WX06,Newark,East,54,73,12,10,2023,2023-10-12,False
WX01,Denver,West,23,44,15,2,2022,2022-02-15,False
WX03,Austin,South,90,82,7,8,2022,2022-08-07,False
WX02,Seattle,West,85,20,8,6,2022,2022-06-08,False
WX01,Denver,West,29,39,13,12,2023,2023-12-13,False
WX05,Boston,East,45,28,22,4,2022,2022-04-22,False
WX02,Seattle,West,72,49,9,9,2023,2023-09-09,False
WX05,Boston,East,75,61,12,6,2022,2022-06-12,True
WX07,Chicago,North,58,25,20,4,2023,2023-04-20,False
WX02,Seattle,West,22,70,7,3,2022,2022-03-07,False
WX06,Newark,East,58,97,14,10,2022,2022-10-14,False
WX03,Austin,South,26,13,31,3,2023,2023-03-31,False
WX03,Austin,South,82,17,4,6,2023,2023-06-04,True
WX05,Boston,East,80,96,29,9,2023,2023-09-29,False
WX06,Newark,East,87,69,19,8,2023,2023-08-19,False
WX06,Newark,East,7,93,14,1,2023,2023-01-14,False
WX02,Seattle,West,80,74,10,8,2022,2022-08-10,False
WX05,Boston,East,78,75,10,7,2022,2022-07-10,False
WX03,Austin,South,11,24,26,12,2023,2023-12-26,False
WX03,Austin,South,38,56,21,3,2023,2023-03-21,False
WX08,Fargo,North,59,43,26,10,2023,2023-10-26,False
WX01,Denver,West,41,85,13,11,2022,2022-11-13,True
WX04,Miami,South,30,13,21,12,2022,2022-12-21,True
WX04,Miami,South,85,11,26,8,2023,2023-08-26,False
WX02,Seattle,West,83,60,12,6,2023,2023-06-12,False
WX07,Chicago,North,64,98,27,5,2022,2022-05-27,True
WX04,Miami,South,16,100,18,1,2023,2023-01-18,True
WX06,Newark,East,75,64,5,6,2022,2022-06-05,False
WX04,Miami,South,83,49,10,7,2023,2023-07-10,False
WX08,Fargo,North,21,34,22,1,2022,2022-01-22,False
WX06,Newark,East,84,100,27,8,2023,2023-08-27,False
WX03,Austin,South,62,26,10,11,2023,2023-11-10,False
WX08,Fargo,North,9,21,17,1,2022,2022-01-17,False
WX07,Chicago,North,54,56,6,4,2023,2023-04-06,False
WX05,Boston,East,13,45,27,2,2022,2022-02-27,True
WX01,Denver,West,69,55,20,9,2022,2022-09-20,False
WX05,Boston,East,70,92,3,9,2022,2022-09-03,True
WX06,Newark,East,27,34,15,1,2023,2023-01-15,True
WX03,Austin,South,34,89,1,11,2023,2023-11-01,True
WX02,Seattle,West,23,29,3,12,2022,2022-12-03,True
WX05,Boston,East,52,39,18,10,2022,2022-10-18,False
WX07,Chicago,North,26,10,9,3,2022,2022-03-09,False
WX03,Austin,South,50,71,10,10,2023,2023-10-10,False
WX04,Miami,South,82,88,18,8,2022,2022-08-18,False
WX01,Denver,West,25,90,4,12,2022,2022-12-04,False
WX06,Newark,East,42,25,9,3,2022,2022-03-09,True
WX07,Chicago,North,88,79,30,7,2022,2022-07-30,False
WX07,Chicago,North,23,22,8,2,2023,2023-02-08,False
WX04,Miami,South,41,67,20,10,2023,2023-10-20,False
WX01,Denver,West,90,73,29,8,2022,2022-08-29,False
WX04,Miami,South,19,23,14,2,2023,2023-02-14,True
WX08,Fargo,North,61,20,2,10,2023,2023-10-02,False
WX01,Denver,West,83,16,21,9,2022,2022-09-21,False
WX02,Seattle,West,84,74,4,8,2022,2022-08-04,False
WX07,Chicago,North,17,65,2,2,2022,2022-02-02,True
WX05,Boston,East,55,20,25,10,2023,2023-10-25,False
WX02,Seattle,West,40,55,22,3,2022,2022-03-22,False
WX01,Denver,West,83,82,7,6,2022,2022-06-07,False
WX04,Miami,South,50,31,12,4,2022,2022-04-12,False
WX05,Boston,East,90,65,1,6,2023,2023-06-01,True
WX07,Chicago,North,76,36,24,9,2022,2022-09-24,False
WX08,Fargo,North,70,33,30,5,2023,2023-05-30,True
WX04,Miami,South,24,45,20,3,2023,2023-03-20,True
WX04,Miami,South,24,42,12,1,2022,2022-01-12,True
WX08,Fargo,North,79,55,13,8,2022,2022-08-13,False
WX07,Chicago,North,22,28,3,1,2022,2022-01-03,False
WX02,Seattle,West,26,45,17,2,2022,2022-02-17,True
WX06,Newark,East,10,66,12,12,2022,2022-12-12,True
WX06,Newark,East,91,45,13,7,2022,2022-07-13,False
WX02,Seattle,West,42,69,7,3,2022,2022-03-07,False
WX08,Fargo,North,60,20,26,10,2022,2022-10-26,True
WX03,Austin,South,38,22,26,11,2022,2022-11-26,False
WX05,Boston,East,9,88,26,12,2023,2023-12-26,True
WX04,Miami,South,65,52,28,4,2023,2023-04-28,False
WX06,Newark,East,58,65,14,10,2022,2022-10-14,True
WX08,Fargo,North,15,77,12,12,2022,2022-12-12,False
WX04,Miami,South,31,23,7,3,2022,2022-03-07,False
WX04,Miami,South,57,98,10,10,2022,2022-10-10,False
WX07,Chicago,North,43,48,1,3,2023,2023-03-01,False
WX08,Fargo,North,16,90,16,1,2022,2022-01-16,False
WX08,Fargo,North,44,47,3,11,2023,2023-11-03,False
WX07,Chicago,North,6,46,12,1,2023,2023-01-12,False
WX06,Newark,East,82,64,29,7,2023,2023-07-29,False
WX07,Chicago,North,73,27,21,7,2022,2022-07-21,False
WX08,Fargo,North,65,65,3,9,2023,2023-09-03,True
WX01,Denver,West,85,99,25,9,2022,2022-09-25,True
WX05,Boston,East,54,68,9,11,2023,2023-11-09,True
WX01,Denver,West,22,16,17,1,2023,2023-01-17,False
WX05,Boston,East,50,73,10,4,2023,2023-04-10,True
WX04,Miami,South,71,13,29,5,2022,2022-05-29,True
WX03,Austin,South,28,19,28,12,2023,2023-12-28,False
WX08,Fargo,North,60,35,21,5,2022,2022-05-21,True
WX06,Newark,East,15,37,25,1,2022,2022-01-25,False
WX05,Boston,East,49,10,18,11,2022,2022-11-18,False
WX08,Fargo,North,64,11,2,9,2023,2023-09-02,True
WX01,Denver,West,32,81,4,11,2023,2023-11-04,False
WX06,Newark,East,73,51,18,9,2023,2023-09-18,True
